Year,Data Type,Average spend per capita
2016,Fixed Data,206.20
2017,Fixed Data,219.10
2018,Fixed Data,231.10
2019,Fixed Data,241.60
2020,Fixed Data,255.50
2021,Fixed Data,285.90
2022,Fixed Data,293.60
2023,Fixed Data,299.00
2024,Fixed Data,304.30
2025,Fixed Data,309.20
2016,Fixed Voice,51.09
2017,Fixed Voice,46.51
2018,Fixed Voice,42.59
2019,Fixed Voice,39.52
2020,Fixed Voice,37.96
2021,Fixed Voice,39.41
2022,Fixed Voice,38.22
2023,Fixed Voice,36.45
2024,Fixed Voice,34.81
2025,Fixed Voice,33.30
2016,Mobile Data,330.80
2017,Mobile Data,335.30
2018,Mobile Data,339.10
2019,Mobile Data,341.80
2020,Mobile Data,345.50
2021,Mobile Data,378.00
2022,Mobile Data,380.30
2023,Mobile Data,392.60
2024,Mobile Data,404.30
2025,Mobile Data,415.50
2016,Mobile voice,428.00
2017,Mobile voice,335.30
2018,Mobile voice,339.10
2019,Mobile voice,241.80
2020,Mobile voice,255.50
2021,Mobile voice,285.90
2022,Mobile voice,293.60
2023,Mobile voice,298.00
2024,Mobile voice,250.00
2025,Mobile voice,237.80
2016,Communication services,1016.00
2017,Communication services,977.90
2018,Communication services,947.60
2019,Communication services,926.60
2020,Communication services,922.50
2021,Communication services,996.50
2022,Communication services,995.90
2023,Communication services,995.70
2024,Communication services,995.60
2025,Communication services,995.80
